Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,NV4FM,145.340000,-,144.740000,,88.5,88.5,023,NN,DV,5.00,,Tysons Corner,CQCQCQ,,0
2,K4HTA,146.685000,-,146.085000,,88.5,88.5,023,NN,FM,5.00,,Vienna,,,
3,NV4FM,146.910000,-,146.310000,,88.5,88.5,023,NN,FM,5.00,,Tysons Corner,,,
4,W4CIA,147.210000,+,147.810000,,88.5,88.5,023,NN,FM,5.00,,Vienna,,,
5,N2LEE,443.000000,+,448.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Herndon,,,
6,NV4FM,447.025000,-,442.025000,Tone,100.0,88.5,023,NN,FM,5.00,,Tysons Corner,,,
7,NV4FM,448.035000,-,443.035000,,88.5,88.5,023,NN,DV,5.00,,Tysons Corner,CQCQCQ,,0
8,WA3TOL,448.675000,-,443.675000,Tone,100.0,88.5,023,NN,FM,5.00,,Burke,,,
9,NV4FM,1282.800000,-,1270.800000,,88.5,88.5,023,NN,DV,5.00,,Tysons Corner,CQCQCQ,,0
